CD1, CD2, CD12, DESCRIPTION1, DESCRIPTION2, DESCRIPTION3
F1325,9,F13259,"Sedatv/hyp/anxiolytc dependence w psychotic disorder, unsp","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1326,,F1326,"Sedatv/hyp/anxiolytc depend w persisting amnestic disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
F1327,,F1327,"Sedatv/hyp/anxiolytc dependence w persisting dementia","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia"
F1328,0,F13280,"Sedatv/hyp/anxiolytc dependence w anxiety disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorders"
F1328,1,F13281,"Sedatv/hyp/anxiolytc dependence w sexual dysfunction","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorders"
F1328,2,F13282,"Sedative, hypnotic or anxiolytic dependence w sleep disorder","Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorders"
F1328,8,F13288,"Sedative, hypnotic or anxiolytic dependence w oth disorder","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder","Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorders"
F1329,,F1329,"Sedative, hypnotic or anxiolytic dependence w unsp disorder","Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder","Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F139,0,F1390,"Sedative, hypnotic, or anxiolytic use, unsp, uncomplicated","Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated","Sedative, hypnotic or anxiolytic-related use, unspecified"
F1392,0,F13920,"Sedatv/hyp/anxiolytc use, unsp w intoxication, uncomplicated","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated","Sedative, hypnotic or anxiolytic use, unspecified with intoxication"
F1392,1,F13921,"Sedatv/hyp/anxiolytc use, unsp w intoxication delirium","Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium","Sedative, hypnotic or anxiolytic use, unspecified with intoxication"
F1392,9,F13929,"Sedatv/hyp/anxiolytc use, unsp w intoxication, unsp","Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified","Sedative, hypnotic or anxiolytic use, unspecified with intoxication"
F1393,0,F13930,"Sedatv/hyp/anxiolytc use, unsp w withdrawal, uncomplicated","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal"
F1393,1,F13931,"Sedatv/hyp/anxiolytc use, unsp w withdrawal delirium","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal"
F1393,2,F13932,"Sedatv/hyp/anxiolytc use, unsp w w/drawal w perceptl disturb","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal"
F1393,9,F13939,"Sedatv/hyp/anxiolytc use, unsp w withdrawal, unsp","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified","Sedative, hypnotic or anxiolytic use, unspecified with withdrawal"
F1394,,F1394,"Sedative, hypnotic or anxiolytic use, unsp w mood disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder"
F1395,0,F13950,"Sedatv/hyp/anxiolytc use, unsp w psych disorder w delusions","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1395,1,F13951,"Sedatv/hyp/anxiolytc use, unsp w psych disorder w hallucin","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1395,9,F13959,"Sedatv/hyp/anxiolytc use, unsp w psychotic disorder, unsp","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder"
F1396,,F1396,"Sedatv/hyp/anxiolytc use, unsp w persist amnestic disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder"
F1397,,F1397,"Sedatv/hyp/anxiolytc use, unsp w persisting dementia","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting dementia"
F1398,0,F13980,"Sedatv/hyp/anxiolytc use, unsp w anxiety disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced anxiety disorder","Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorders"
F1398,1,F13981,"Sedatv/hyp/anxiolytc use, unsp w sexual dysfunction","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sexual dysfunction","Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorders"
F1398,2,F13982,"Sedative, hypnotic or anxiolytic use, unsp w sleep disorder","Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced sleep disorder","Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorders"
F1398,8,F13988,"Sedative, hypnotic or anxiolytic use, unsp w oth disorder","Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorder","Sedative, hypnotic or anxiolytic use, unspecified with other sedative, hypnotic or anxiolytic-induced disorders"
F1399,,F1399,"Sedative, hypnotic or anxiolytic use, unsp w unsp disorder","Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder","Sedative, hypnotic or anxiolytic use, unspecified with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F141,0,F1410,"Cocaine abuse, uncomplicated","Cocaine abuse, uncomplicated","Cocaine abuse"
F141,1,F1411,"Cocaine abuse, in remission","Cocaine abuse, in remission","Cocaine abuse"
F1412,0,F14120,"Cocaine abuse with intoxication, uncomplicated","Cocaine abuse with intoxication, uncomplicated","Cocaine abuse with intoxication"
F1412,1,F14121,"Cocaine abuse with intoxication with delirium","Cocaine abuse with intoxication with delirium","Cocaine abuse with intoxication"
F1412,2,F14122,"Cocaine abuse with intoxication with perceptual disturbance","Cocaine abuse with intoxication with perceptual disturbance","Cocaine abuse with intoxication"
F1412,9,F14129,"Cocaine abuse with intoxication, unspecified","Cocaine abuse with intoxication, unspecified","Cocaine abuse with intoxication"
F1414,,F1414,"Cocaine abuse with cocaine-induced mood disorder","Cocaine abuse with cocaine-induced mood disorder","Cocaine abuse with cocaine-induced mood disorder"
F1415,0,F14150,"Cocaine abuse w cocaine-induc psychotic disorder w delusions","Cocaine abuse with cocaine-induced psychotic disorder with delusions","Cocaine abuse with cocaine-induced psychotic disorder"
F1415,1,F14151,"Cocaine abuse w cocaine-induc psychotic disorder w hallucin","Cocaine abuse with cocaine-induced psychotic disorder with hallucinations","Cocaine abuse with cocaine-induced psychotic disorder"
F1415,9,F14159,"Cocaine abuse with cocaine-induced psychotic disorder, unsp","Cocaine abuse with cocaine-induced psychotic disorder, unspecified","Cocaine abuse with cocaine-induced psychotic disorder"
F1418,0,F14180,"Cocaine abuse with cocaine-induced anxiety disorder","Cocaine abuse with cocaine-induced anxiety disorder","Cocaine abuse with other cocaine-induced disorder"
F1418,1,F14181,"Cocaine abuse with cocaine-induced sexual dysfunction","Cocaine abuse with cocaine-induced sexual dysfunction","Cocaine abuse with other cocaine-induced disorder"
F1418,2,F14182,"Cocaine abuse with cocaine-induced sleep disorder","Cocaine abuse with cocaine-induced sleep disorder","Cocaine abuse with other cocaine-induced disorder"
F1418,8,F14188,"Cocaine abuse with other cocaine-induced disorder","Cocaine abuse with other cocaine-induced disorder","Cocaine abuse with other cocaine-induced disorder"
F1419,,F1419,"Cocaine abuse with unspecified cocaine-induced disorder","Cocaine abuse with unspecified cocaine-induced disorder","Cocaine abuse with unspecified cocaine-induced disorder"
F142,0,F1420,"Cocaine dependence, uncomplicated","Cocaine dependence, uncomplicated","Cocaine dependence"
F142,1,F1421,"Cocaine dependence, in remission","Cocaine dependence, in remission","Cocaine dependence"
F1422,0,F14220,"Cocaine dependence with intoxication, uncomplicated","Cocaine dependence with intoxication, uncomplicated","Cocaine dependence with intoxication"
F1422,1,F14221,"Cocaine dependence with intoxication delirium","Cocaine dependence with intoxication delirium","Cocaine dependence with intoxication"
F1422,2,F14222,"Cocaine dependence w intoxication w perceptual disturbance","Cocaine dependence with intoxication with perceptual disturbance","Cocaine dependence with intoxication"
F1422,9,F14229,"Cocaine dependence with intoxication, unspecified","Cocaine dependence with intoxication, unspecified","Cocaine dependence with intoxication"
F1423,,F1423,"Cocaine dependence with withdrawal","Cocaine dependence with withdrawal","Cocaine dependence with withdrawal"
F1424,,F1424,"Cocaine dependence with cocaine-induced mood disorder","Cocaine dependence with cocaine-induced mood disorder","Cocaine dependence with cocaine-induced mood disorder"
F1425,0,F14250,"Cocaine depend w cocaine-induc psych disorder w delusions","Cocaine dependence with cocaine-induced psychotic disorder with delusions","Cocaine dependence with cocaine-induced psychotic disorder"
F1425,1,F14251,"Cocaine depend w cocaine-induc psychotic disorder w hallucin","Cocaine dependence with cocaine-induced psychotic disorder with hallucinations","Cocaine dependence with cocaine-induced psychotic disorder"
F1425,9,F14259,"Cocaine dependence w cocaine-induc psychotic disorder, unsp","Cocaine dependence with cocaine-induced psychotic disorder, unspecified","Cocaine dependence with cocaine-induced psychotic disorder"
F1428,0,F14280,"Cocaine dependence with cocaine-induced anxiety disorder","Cocaine dependence with cocaine-induced anxiety disorder","Cocaine dependence with other cocaine-induced disorder"
F1428,1,F14281,"Cocaine dependence with cocaine-induced sexual dysfunction","Cocaine dependence with cocaine-induced sexual dysfunction","Cocaine dependence with other cocaine-induced disorder"
F1428,2,F14282,"Cocaine dependence with cocaine-induced sleep disorder","Cocaine dependence with cocaine-induced sleep disorder","Cocaine dependence with other cocaine-induced disorder"
F1428,8,F14288,"Cocaine dependence with other cocaine-induced disorder","Cocaine dependence with other cocaine-induced disorder","Cocaine dependence with other cocaine-induced disorder"
F1429,,F1429,"Cocaine dependence with unspecified cocaine-induced disorder","Cocaine dependence with unspecified cocaine-induced disorder","Cocaine dependence with unspecified cocaine-induced disorder"
F149,0,F1490,"Cocaine use, unspecified, uncomplicated","Cocaine use, unspecified, uncomplicated","Cocaine use, unspecified"
F1492,0,F14920,"Cocaine use, unspecified with intoxication, uncomplicated","Cocaine use, unspecified with intoxication, uncomplicated","Cocaine use, unspecified with intoxication"
F1492,1,F14921,"Cocaine use, unspecified with intoxication delirium","Cocaine use, unspecified with intoxication delirium","Cocaine use, unspecified with intoxication"
F1492,2,F14922,"Cocaine use, unsp w intoxication with perceptual disturbance","Cocaine use, unspecified with intoxication with perceptual disturbance","Cocaine use, unspecified with intoxication"
F1492,9,F14929,"Cocaine use, unspecified with intoxication, unspecified","Cocaine use, unspecified with intoxication, unspecified","Cocaine use, unspecified with intoxication"
F1494,,F1494,"Cocaine use, unspecified with cocaine-induced mood disorder","Cocaine use, unspecified with cocaine-induced mood disorder","Cocaine use, unspecified with cocaine-induced mood disorder"
F1495,0,F14950,"Cocaine use, unsp w cocaine-induc psych disorder w delusions","Cocaine use, unspecified with cocaine-induced psychotic disorder with delusions","Cocaine use, unspecified with cocaine-induced psychotic disorder"
F1495,1,F14951,"Cocaine use, unsp w cocaine-induc psych disorder w hallucin","Cocaine use, unspecified with cocaine-induced psychotic disorder with hallucinations","Cocaine use, unspecified with cocaine-induced psychotic disorder"
F1495,9,F14959,"Cocaine use, unsp w cocaine-induced psychotic disorder, unsp","Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified","Cocaine use, unspecified with cocaine-induced psychotic disorder"
F1498,0,F14980,"Cocaine use, unsp with cocaine-induced anxiety disorder","Cocaine use, unspecified with cocaine-induced anxiety disorder","Cocaine use, unspecified with other specified cocaine-induced disorder"
F1498,1,F14981,"Cocaine use, unsp with cocaine-induced sexual dysfunction","Cocaine use, unspecified with cocaine-induced sexual dysfunction","Cocaine use, unspecified with other specified cocaine-induced disorder"
F1498,2,F14982,"Cocaine use, unspecified with cocaine-induced sleep disorder","Cocaine use, unspecified with cocaine-induced sleep disorder","Cocaine use, unspecified with other specified cocaine-induced disorder"
F1498,8,F14988,"Cocaine use, unspecified with other cocaine-induced disorder","Cocaine use, unspecified with other cocaine-induced disorder","Cocaine use, unspecified with other specified cocaine-induced disorder"
F1499,,F1499,"Cocaine use, unsp with unspecified cocaine-induced disorder","Cocaine use, unspecified with unspecified cocaine-induced disorder","Cocaine use, unspecified with unspecified cocaine-induced disorder"
F151,0,F1510,"Other stimulant abuse, uncomplicated","Other stimulant abuse, uncomplicated","Other stimulant abuse"
F151,1,F1511,"Other stimulant abuse, in remission","Other stimulant abuse, in remission","Other stimulant abuse"
F1512,0,F15120,"Other stimulant abuse with intoxication, uncomplicated","Other stimulant abuse with intoxication, uncomplicated","Other stimulant abuse with intoxication"
F1512,1,F15121,"Other stimulant abuse with intoxication delirium","Other stimulant abuse with intoxication delirium","Other stimulant abuse with intoxication"
F1512,2,F15122,"Oth stimulant abuse w intoxication w perceptual disturbance","Other stimulant abuse with intoxication with perceptual disturbance","Other stimulant abuse with intoxication"
F1512,9,F15129,"Other stimulant abuse with intoxication, unspecified","Other stimulant abuse with intoxication, unspecified","Other stimulant abuse with intoxication"
F1514,,F1514,"Other stimulant abuse with stimulant-induced mood disorder","Other stimulant abuse with stimulant-induced mood disorder","Other stimulant abuse with stimulant-induced mood disorder"
F1515,0,F15150,"Oth stimulant abuse w stim-induce psych disorder w delusions","Other stimulant abuse with stimulant-induced psychotic disorder with delusions","Other stimulant abuse with stimulant-induced psychotic disorder"
F1515,1,F15151,"Oth stimulant abuse w stim-induce psych disorder w hallucin","Other stimulant abuse with stimulant-induced psychotic disorder with hallucinations","Other stimulant abuse with stimulant-induced psychotic disorder"
F1515,9,F15159,"Oth stimulant abuse w stim-induce psychotic disorder, unsp","Other stimulant abuse with stimulant-induced psychotic disorder, unspecified","Other stimulant abuse with stimulant-induced psychotic disorder"
F1518,0,F15180,"Oth stimulant abuse with stimulant-induced anxiety disorder","Other stimulant abuse with stimulant-induced anxiety disorder","Other stimulant abuse with other stimulant-induced disorder"
F1518,1,F15181,"Oth stimulant abuse w stimulant-induced sexual dysfunction","Other stimulant abuse with stimulant-induced sexual dysfunction","Other stimulant abuse with other stimulant-induced disorder"
F1518,2,F15182,"Other stimulant abuse with stimulant-induced sleep disorder","Other stimulant abuse with stimulant-induced sleep disorder","Other stimulant abuse with other stimulant-induced disorder"
F1518,8,F15188,"Other stimulant abuse with other stimulant-induced disorder","Other stimulant abuse with other stimulant-induced disorder","Other stimulant abuse with other stimulant-induced disorder"
F1519,,F1519,"Other stimulant abuse with unsp stimulant-induced disorder","Other stimulant abuse with unspecified stimulant-induced disorder","Other stimulant abuse with unspecified stimulant-induced disorder"
F152,0,F1520,"Other stimulant dependence, uncomplicated","Other stimulant dependence, uncomplicated","Other stimulant dependence"
F152,1,F1521,"Other stimulant dependence, in remission","Other stimulant dependence, in remission","Other stimulant dependence"
F1522,0,F15220,"Other stimulant dependence with intoxication, uncomplicated","Other stimulant dependence with intoxication, uncomplicated","Other stimulant dependence with intoxication"
F1522,1,F15221,"Other stimulant dependence with intoxication delirium","Other stimulant dependence with intoxication delirium","Other stimulant dependence with intoxication"
F1522,2,F15222,"Oth stimulant dependence w intox w perceptual disturbance","Other stimulant dependence with intoxication with perceptual disturbance","Other stimulant dependence with intoxication"
F1522,9,F15229,"Other stimulant dependence with intoxication, unspecified","Other stimulant dependence with intoxication, unspecified","Other stimulant dependence with intoxication"
F1523,,F1523,"Other stimulant dependence with withdrawal","Other stimulant dependence with withdrawal","Other stimulant dependence with withdrawal"
F1524,,F1524,"Oth stimulant dependence w stimulant-induced mood disorder","Other stimulant dependence with stimulant-induced mood disorder","Other stimulant dependence with stimulant-induced mood disorder"
F1525,0,F15250,"Oth stim depend w stim-induce psych disorder w delusions","Other stimulant dependence with stimulant-induced psychotic disorder with delusions","Other stimulant dependence with stimulant-induced psychotic disorder"
F1525,1,F15251,"Oth stimulant depend w stim-induce psych disorder w hallucin","Other stimulant dependence with stimulant-induced psychotic disorder with hallucinations","Other stimulant dependence with stimulant-induced psychotic disorder"
F1525,9,F15259,"Oth stimulant depend w stim-induce psychotic disorder, unsp","Other stimulant dependence with stimulant-induced psychotic disorder, unspecified","Other stimulant dependence with stimulant-induced psychotic disorder"
F1528,0,F15280,"Oth stimulant dependence w stim-induce anxiety disorder","Other stimulant dependence with stimulant-induced anxiety disorder","Other stimulant dependence with other stimulant-induced disorder"
F1528,1,F15281,"Oth stimulant dependence w stim-induce sexual dysfunction","Other stimulant dependence with stimulant-induced sexual dysfunction","Other stimulant dependence with other stimulant-induced disorder"
F1528,2,F15282,"Oth stimulant dependence w stimulant-induced sleep disorder","Other stimulant dependence with stimulant-induced sleep disorder","Other stimulant dependence with other stimulant-induced disorder"
F1528,8,F15288,"Oth stimulant dependence with oth stimulant-induced disorder","Other stimulant dependence with other stimulant-induced disorder","Other stimulant dependence with other stimulant-induced disorder"
F1529,,F1529,"Oth stimulant dependence w unsp stimulant-induced disorder","Other stimulant dependence with unspecified stimulant-induced disorder","Other stimulant dependence with unspecified stimulant-induced disorder"
F159,0,F1590,"Other stimulant use, unspecified, uncomplicated","Other stimulant use, unspecified, uncomplicated","Other stimulant use, unspecified"
F1592,0,F15920,"Other stimulant use, unsp with intoxication, uncomplicated","Other stimulant use, unspecified with intoxication, uncomplicated","Other stimulant use, unspecified with intoxication"
F1592,1,F15921,"Other stimulant use, unspecified with intoxication delirium","Other stimulant use, unspecified with intoxication delirium","Other stimulant use, unspecified with intoxication"
F1592,2,F15922,"Oth stimulant use, unsp w intox w perceptual disturbance","Other stimulant use, unspecified with intoxication with perceptual disturbance","Other stimulant use, unspecified with intoxication"
F1592,9,F15929,"Other stimulant use, unsp with intoxication, unspecified","Other stimulant use, unspecified with intoxication, unspecified","Other stimulant use, unspecified with intoxication"
F1593,,F1593,"Other stimulant use, unspecified with withdrawal","Other stimulant use, unspecified with withdrawal","Other stimulant use, unspecified with withdrawal"
F1594,,F1594,"Oth stimulant use, unsp with stimulant-induced mood disorder","Other stimulant use, unspecified with stimulant-induced mood disorder","Other stimulant use, unspecified with stimulant-induced mood disorder"
F1595,0,F15950,"Oth stim use, unsp w stim-induce psych disorder w delusions","Other stimulant use, unspecified with stimulant-induced psychotic disorder with delusions","Other stimulant use, unspecified with stimulant-induced psychotic disorder"
F1595,1,F15951,"Oth stim use, unsp w stim-induce psych disorder w hallucin","Other stimulant use, unspecified with stimulant-induced psychotic disorder with hallucinations","Other stimulant use, unspecified with stimulant-induced psychotic disorder"
F1595,9,F15959,"Oth stimulant use, unsp w stim-induce psych disorder, unsp","Other stimulant use, unspecified with stimulant-induced psychotic disorder, unspecified","Other stimulant use, unspecified with stimulant-induced psychotic disorder"
F1598,0,F15980,"Oth stimulant use, unsp w stimulant-induced anxiety disorder","Other stimulant use, unspecified with stimulant-induced anxiety disorder","Other stimulant use, unspecified with other stimulant-induced disorder"
F1598,1,F15981,"Oth stimulant use, unsp w stim-induce sexual dysfunction","Other stimulant use, unspecified with stimulant-induced sexual dysfunction","Other stimulant use, unspecified with other stimulant-induced disorder"
F1598,2,F15982,"Oth stimulant use, unsp w stimulant-induced sleep disorder","Other stimulant use, unspecified with stimulant-induced sleep disorder","Other stimulant use, unspecified with other stimulant-induced disorder"
F1598,8,F15988,"Oth stimulant use, unsp with oth stimulant-induced disorder","Other stimulant use, unspecified with other stimulant-induced disorder","Other stimulant use, unspecified with other stimulant-induced disorder"
F1599,,F1599,"Oth stimulant use, unsp with unsp stimulant-induced disorder","Other stimulant use, unspecified with unspecified stimulant-induced disorder","Other stimulant use, unspecified with unspecified stimulant-induced disorder"
F161,0,F1610,"Hallucinogen abuse, uncomplicated","Hallucinogen abuse, uncomplicated","Hallucinogen abuse"
F161,1,F1611,"Hallucinogen abuse, in remission","Hallucinogen abuse, in remission","Hallucinogen abuse"
F1612,0,F16120,"Hallucinogen abuse with intoxication, uncomplicated","Hallucinogen abuse with intoxication, uncomplicated","Hallucinogen abuse with intoxication"
F1612,1,F16121,"Hallucinogen abuse with intoxication with delirium","Hallucinogen abuse with intoxication with delirium","Hallucinogen abuse with intoxication"
F1612,2,F16122,"Hallucinogen abuse w intoxication w perceptual disturbance","Hallucinogen abuse with intoxication with perceptual disturbance","Hallucinogen abuse with intoxication"
F1612,9,F16129,"Hallucinogen abuse with intoxication, unspecified","Hallucinogen abuse with intoxication, unspecified","Hallucinogen abuse with intoxication"
F1614,,F1614,"Hallucinogen abuse with hallucinogen-induced mood disorder","Hallucinogen abuse with hallucinogen-induced mood disorder","Hallucinogen abuse with hallucinogen-induced mood disorder"
F1615,0,F16150,"Hallucinogen abuse w psychotic disorder w delusions","Hallucinogen abuse with hallucinogen-induced psychotic disorder with delusions","Hallucinogen abuse with hallucinogen-induced psychotic disorder"
F1615,1,F16151,"Hallucinogen abuse w psychotic disorder w hallucinations","Hallucinogen abuse with hallucinogen-induced psychotic disorder with hallucinations","Hallucinogen abuse with hallucinogen-induced psychotic disorder"
F1615,9,F16159,"Hallucinogen abuse w psychotic disorder, unsp","Hallucinogen abuse with hallucinogen-induced psychotic disorder, unspecified","Hallucinogen abuse with hallucinogen-induced psychotic disorder"
F1618,0,F16180,"Hallucinogen abuse w hallucinogen-induced anxiety disorder","Hallucinogen abuse with hallucinogen-induced anxiety disorder","Hallucinogen abuse with other hallucinogen-induced disorder"
F1618,3,F16183,"Hallucign abuse w hallucign persisting perception disorder","Hallucinogen abuse with hallucinogen persisting perception disorder (flashbacks)","Hallucinogen abuse with other hallucinogen-induced disorder"
F1618,8,F16188,"Hallucinogen abuse with other hallucinogen-induced disorder","Hallucinogen abuse with other hallucinogen-induced disorder","Hallucinogen abuse with other hallucinogen-induced disorder"
F1619,,F1619,"Hallucinogen abuse with unsp hallucinogen-induced disorder","Hallucinogen abuse with unspecified hallucinogen-induced disorder","Hallucinogen abuse with unspecified hallucinogen-induced disorder"
F162,0,F1620,"Hallucinogen dependence, uncomplicated","Hallucinogen dependence, uncomplicated","Hallucinogen dependence"
F162,1,F1621,"Hallucinogen dependence, in remission","Hallucinogen dependence, in remission","Hallucinogen dependence"
F1622,0,F16220,"Hallucinogen dependence with intoxication, uncomplicated","Hallucinogen dependence with intoxication, uncomplicated","Hallucinogen dependence with intoxication"
F1622,1,F16221,"Hallucinogen dependence with intoxication with delirium","Hallucinogen dependence with intoxication with delirium","Hallucinogen dependence with intoxication"
F1622,9,F16229,"Hallucinogen dependence with intoxication, unspecified","Hallucinogen dependence with intoxication, unspecified","Hallucinogen dependence with intoxication"
F1624,,F1624,"Hallucinogen dependence w hallucinogen-induced mood disorder","Hallucinogen dependence with hallucinogen-induced mood disorder","Hallucinogen dependence with hallucinogen-induced mood disorder"
F1625,0,F16250,"Hallucinogen dependence w psychotic disorder w delusions","Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions","Hallucinogen dependence with hallucinogen-induced psychotic disorder"
F1625,1,F16251,"Hallucinogen dependence w psychotic disorder w hallucin","Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations","Hallucinogen dependence with hallucinogen-induced psychotic disorder"
F1625,9,F16259,"Hallucinogen dependence w psychotic disorder, unsp","Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified","Hallucinogen dependence with hallucinogen-induced psychotic disorder"
F1628,0,F16280,"Hallucinogen dependence w anxiety disorder","Hallucinogen dependence with hallucinogen-induced anxiety disorder","Hallucinogen dependence with other hallucinogen-induced disorder"
F1628,3,F16283,"Hallucign depend w hallucign persisting perception disorder","Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks)","Hallucinogen dependence with other hallucinogen-induced disorder"
F1628,8,F16288,"Hallucinogen dependence w oth hallucinogen-induced disorder","Hallucinogen dependence with other hallucinogen-induced disorder","Hallucinogen dependence with other hallucinogen-induced disorder"
F1629,,F1629,"Hallucinogen dependence w unsp hallucinogen-induced disorder","Hallucinogen dependence with unspecified hallucinogen-induced disorder","Hallucinogen dependence with unspecified hallucinogen-induced disorder"
F169,0,F1690,"Hallucinogen use, unspecified, uncomplicated","Hallucinogen use, unspecified, uncomplicated","Hallucinogen use, unspecified"
F1692,0,F16920,"Hallucinogen use, unsp with intoxication, uncomplicated","Hallucinogen use, unspecified with intoxication, uncomplicated","Hallucinogen use, unspecified with intoxication"
F1692,1,F16921,"Hallucinogen use, unsp with intoxication with delirium","Hallucinogen use, unspecified with intoxication with delirium","Hallucinogen use, unspecified with intoxication"
F1692,9,F16929,"Hallucinogen use, unspecified with intoxication, unspecified","Hallucinogen use, unspecified with intoxication, unspecified","Hallucinogen use, unspecified with intoxication"
F1694,,F1694,"Hallucinogen use, unsp w hallucinogen-induced mood disorder","Hallucinogen use, unspecified with hallucinogen-induced mood disorder","Hallucinogen use, unspecified with hallucinogen-induced mood disorder"
F1695,0,F16950,"Hallucinogen use, unsp w psychotic disorder w delusions","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder"
F1695,1,F16951,"Hallucinogen use, unsp w psychotic disorder w hallucinations","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder"
F1695,9,F16959,"Hallucinogen use, unsp w psychotic disorder, unsp","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified","Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder"
F1698,0,F16980,"Hallucinogen use, unsp w anxiety disorder","Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder","Hallucinogen use, unspecified with other specified hallucinogen-induced disorder"
F1698,3,F16983,"Hallucign use, unsp w hallucign persist perception disorder","Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)","Hallucinogen use, unspecified with other specified hallucinogen-induced disorder"
F1698,8,F16988,"Hallucinogen use, unsp w oth hallucinogen-induced disorder","Hallucinogen use, unspecified with other hallucinogen-induced disorder","Hallucinogen use, unspecified with other specified hallucinogen-induced disorder"
